,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,y
x_11,0.03680889,0.01936635,0.17749584,0.03726552,0.32493633,0.28267168,0.23212025,0.00813013,0.17691687,0.81941338,1.00000000,0.71022497,0.02963539,-0.03262466,0.27703842,0.31532309,0.21038505,0.13821439,-0.04302074,0.20558511,0.27194066,0.22683576,-0.07496794,0.41382260,0.01187819,-0.03948910,0.34819763,-0.00818920,0.05652629,0.34228495,0.34550100,0.22230030,0.05780656,0.23367315,0.19668807,0.27697647,0.18948969,0.17759490,0.31841387,0.62856290
x_12,0.04626310,-0.00828708,0.12137934,0.02395943,0.25302285,0.22452930,0.22233381,0.06352891,0.14748830,0.21570942,0.71022497,1.00000000,-0.02040438,-0.04774674,0.20050503,0.26070016,0.15810679,0.09030518,-0.02652571,0.18529327,0.26644876,0.22843371,-0.05311587,0.31134248,-0.01222508,-0.03135622,0.23689135,0.03310133,0.04011135,0.27993744,0.31274669,0.13517796,-0.00419412,0.20298610,0.18616968,0.20379610,0.13732899,0.13522480,0.25416743,0.46879293
x_13,0.01386264,0.01125633,0.01435023,-0.04874809,0.04767717,0.02912187,0.04301797,0.02580487,0.01608410,0.06497618,0.02963539,-0.02040438,1.00000000,0.05990243,0.00988532,0.00276889,-0.05066316,-0.03021355,0.01083625,-0.02283585,-0.02019931,-0.01349677,-0.03891040,-0.00980698,-0.00909674,0.04484122,-0.01740094,-0.04157454,0.03011600,0.00137371,0.00131509,0.01628829,0.01263805,0.01824207,0.04546240,-0.00402977,0.00003796,0.03757043,0.02799249,0.02273307
x_14,-0.09156622,-0.02968947,-0.01294044,-0.06361849,0.02342920,-0.06067601,0.05806622,0.06486447,-0.00952570,-0.01606216,-0.03262466,-0.04774674,0.05990243,1.00000000,-0.03728394,0.03775588,-0.03347679,-0.07504566,-0.02589169,0.01326914,0.00649779,-0.01552532,-0.07490879,0.00718904,-0.04438184,-0.03326573,0.03002788,-0.05953486,-0.00523234,-0.01313997,-0.03305409,-0.04342895,-0.02995604,-0.03006279,-0.02965739,0.03334169,0.00112834,-0.02430768,-0.01002701,-0.05013802
x_15,-0.02763186,-0.00414268,0.13051228,0.00105464,0.30084128,0.26879930,0.16165379,0.06213231,0.10927109,0.23525367,0.27703842,0.20050503,0.00988532,-0.03728394,1.00000000,0.32137093,0.18009639,0.61719225,-0.01464412,0.21102448,0.26556099,0.21127492,0.00119173,0.38873882,-0.06766513,-0.03520768,0.31316142,0.08094445,0.03203536,0.32406127,0.33907023,0.20904602,0.05888461,0.25064079,0.17059816,0.19978006,0.16524873,0.18860750,0.28177477,0.44365029
x_16,0.01425106,-0.01752763,0.23989330,-0.02929129,0.36280753,0.29637090,0.29931079,0.08890231,0.23197480,0.24183904,0.31532309,0.26070016,0.00276889,0.03775588,0.32137093,1.00000000,0.32593399,-0.16756400,-0.00322077,0.29029800,0.37243199,0.28720949,-0.00885220,0.41502025,0.05106904,0.01676385,0.33929802,-0.00734388,0.09192467,0.33623270,0.31306807,0.27761528,0.13700741,0.24454440,0.21650778,0.25893219,0.23471225,0.23590024,0.36918922,0.38031005
x_17,-0.04016029,-0.02712832,0.16914783,0.00234204,0.30521790,0.24815119,0.19860086,0.08895368,0.15253317,0.17697831,0.21038505,0.15810679,-0.05066316,-0.03347679,0.18009639,0.32593399,1.00000000,0.61496805,-0.00295305,0.16877077,0.24612774,0.21416475,-0.05258096,0.31385538,-0.01696751,-0.02028801,0.29648501,0.02137485,-0.01227987,0.24152298,0.25899120,0.17335309,0.06696945,0.19997386,0.13177439,0.14746499,0.17778297,0.15697946,0.24363020,0.42544482
x_18,-0.05908947,-0.00314238,0.05814334,0.01835850,0.18545078,0.16925635,0.05846492,0.06232550,0.03680977,0.12885167,0.13821439,0.09030518,-0.03021355,-0.07504566,0.61719225,-0.16756400,0.61496805,1.00000000,-0.00509226,0.08914738,0.12462083,0.11307607,-0.02548883,0.22982006,-0.09223900,-0.04867416,0.20887988,0.08207499,-0.04858978,0.18311575,0.21206742,0.09282005,0.00648966,0.15365886,0.05840878,0.08693991,0.08360965,0.08823518,0.12564631,0.37236833
x_19,-0.02359603,0.03539223,0.06663225,0.09329621,-0.03969274,-0.04879943,-0.06250842,0.05086949,0.00743466,-0.04898636,-0.04302074,-0.02652571,0.01083625,-0.02589169,-0.01464412,-0.00322077,-0.00295305,-0.00509226,1.00000000,-0.01123500,0.00292988,0.00018406,-0.03194006,-0.05296996,0.01172612,-0.03228294,0.00951659,-0.00106683,-0.02636220,-0.09720581,-0.02750276,-0.02015173,0.00220891,-0.01552928,0.01385678,-0.05382181,-0.08645286,-0.07499565,-0.10035925,-0.05398987
x_20,0.06748192,-0.03757014,0.18508410,0.05972048,0.20541145,0.19715848,0.14348826,-0.01448881,0.15770410,0.16854233,0.20558511,0.18529327,-0.02283585,0.01326914,0.21102448,0.29029800,0.16877077,0.08914738,-0.01123500,1.00000000,0.69148313,0.18012855,-0.01535272,0.32097613,0.01123380,-0.05548055,0.24297196,-0.03654219,0.02232846,0.27605168,0.19599579,0.18384214,0.11639908,0.19649483,0.12387441,0.17249790,0.15382140,0.10153563,0.20830006,0.41677571
x_21,0.04016187,-0.03467092,0.23983352,0.04620288,0.34543916,0.24143561,0.21293856,0.03802030,0.16738237,0.18559693,0.27194066,0.26644876,-0.02019931,0.00649779,0.26556099,0.37243199,0.24612774,0.12462083,0.00292988,0.69148313,1.00000000,0.81891160,-0.03101321,0.41198271,-0.01387277,-0.04648314,0.35504940,-0.07693501,0.02339027,0.32234048,0.30190312,0.20622698,0.08411470,0.23868341,0.16649916,0.22601929,0.17889836,0.19709106,0.29877149,0.56140419
x_22,0.00321169,-0.01965082,0.19180575,0.01803914,0.31773898,0.18620073,0.18574381,0.06841795,0.11707471,0.13714094,0.22683576,0.22843371,-0.01349677,-0.01552532,0.21127492,0.28720949,0.21416475,0.11307607,0.00018406,0.18012855,0.81891160,1.00000000,-0.03085041,0.32506633,-0.03397782,-0.01978072,0.29949507,-0.07668532,0.03877485,0.23856958,0.27614229,0.14492695,0.01998435,0.17586095,0.14125558,0.17628461,0.12293610,0.18402785,0.24776081,0.44837390
x_23,0.02284211,0.01844021,0.00810952,0.02655227,-0.03327709,0.04241448,-0.00964526,0.11076198,0.04348993,-0.04672441,-0.07496794,-0.05311587,-0.03891040,-0.07490879,0.00119173,-0.00885220,-0.05258096,-0.02548883,-0.03194006,-0.01535272,-0.03101321,-0.03085041,1.00000000,0.00825321,0.02386245,-0.03660748,0.04046811,0.02473956,-0.03598230,-0.02888112,-0.04652266,-0.04913868,-0.01519791,-0.00307671,0.05259369,-0.00877971,-0.01764526,-0.06254970,-0.01759576,-0.04907432
x_24,-0.06886886,-0.01015818,0.26595874,0.01633722,0.41588124,0.32375081,0.33871591,0.03150280,0.24638183,0.33569222,0.41382260,0.31134248,-0.00980698,0.00718904,0.38873882,0.41502025,0.31385538,0.22982006,-0.05296996,0.32097613,0.41198271,0.32506633,0.00825321,1.00000000,-0.01113181,-0.02424873,0.79597377,-0.04082698,0.06248591,0.79279025,0.32951420,0.33143171,0.19312397,0.31941068,0.30555492,0.30262089,0.32295873,0.28395828,0.48006410,0.46300614
x_25,-0.00784828,0.01090930,0.02330121,-0.02816024,0.02418315,0.03168601,-0.04178147,-0.04110761,-0.00503292,0.01237187,0.01187819,-0.01222508,-0.00909674,-0.04438184,-0.06766513,0.05106904,-0.01696751,-0.09223900,0.01172612,0.01123380,-0.01387277,-0.03397782,0.02386245,-0.01113181,1.00000000,0.02343491,-0.00565087,0.09364334,0.04105172,0.00851225,-0.01787228,-0.01045257,-0.02720561,-0.05098566,-0.03751818,0.02859255,0.00473696,-0.01457771,-0.01045839,-0.03639796
x_26,-0.00355583,-0.01531450,0.00546974,-0.02958719,0.01509637,0.00121701,-0.02974795,-0.03634153,-0.01410882,-0.04471045,-0.03948910,-0.03135622,0.04484122,-0.03326573,-0.03520768,0.01676385,-0.02028801,-0.04867416,-0.03228294,-0.05548055,-0.04648314,-0.01978072,-0.03660748,-0.02424873,0.02343491,1.00000000,-0.01175847,0.01514919,0.02569128,-0.03275489,-0.04640632,-0.00049490,0.02334978,0.00353665,0.04522204,-0.04153633,0.02428233,0.03700289,0.03924448,-0.01395539
x_27,-0.03784608,-0.00445963,0.23970245,0.02760032,0.35700779,0.28327956,0.26467903,0.04613769,0.20996557,0.29572782,0.34819763,0.23689135,-0.01740094,0.03002788,0.31316142,0.33929802,0.29648501,0.20887988,0.00951659,0.24297196,0.35504940,0.29949507,0.04046811,0.79597377,-0.00565087,-0.01175847,1.00000000,-0.03194355,0.06831231,0.30166796,0.28373312,0.24249194,0.13875316,0.27357002,0.22858258,0.24623769,0.25837420,0.18962641,0.36037117,0.37925412
x_28,-0.05112714,0.07635075,-0.07776989,-0.05931378,-0.03526491,0.00129957,-0.04549990,-0.00445009,-0.05758432,-0.03929431,-0.00818920,0.03310133,-0.04157454,-0.05953486,0.08094445,-0.00734388,0.02137485,0.08207499,-0.00106683,-0.03654219,-0.07693501,-0.07668532,0.02473956,-0.04082698,0.09364334,0.01514919,-0.03194355,1.00000000,-0.05224485,-0.02738681,-0.05169153,-0.09967572,-0.02758371,0.01914497,-0.07768009,-0.01292000,0.03272874,-0.03018033,-0.03212861,-0.03611593
x_29,-0.05001569,-0.03986571,0.05190198,0.04229704,0.03538205,0.05193855,0.03531123,-0.01036661,0.04965668,0.03448684,0.05652629,0.04011135,0.03011600,-0.00523234,0.03203536,0.09192467,-0.01227987,-0.04858978,-0.02636220,0.02232846,0.02339027,0.03877485,-0.03598230,0.06248591,0.04105172,0.02569128,0.06831231,-0.05224485,1.00000000,0.07786200,0.04082539,0.03095439,0.00281766,0.00618090,0.03412828,-0.02977018,-0.00028783,0.02632828,0.01147683,0.02064524
x_30,-0.06946908,-0.01497860,0.22076430,0.01634800,0.33999020,0.23346612,0.28717092,0.01269432,0.19301629,0.26290301,0.34228495,0.27993744,0.00137371,-0.01313997,0.32406127,0.33623270,0.24152298,0.18311575,-0.09720581,0.27605168,0.32234048,0.23856958,-0.02888112,0.79279025,0.00851225,-0.03275489,0.30166796,-0.02738681,0.07786200,1.00000000,0.25156813,0.29496722,0.18292452,0.25611844,0.27138295,0.26505403,0.27175922,0.27082890,0.42906633,0.40477602
x_31,-0.00469399,0.03423383,0.22055944,-0.02235073,0.31799190,0.26315285,0.21347389,0.05461470,0.18432504,0.22773192,0.34550100,0.31274669,0.00131509,-0.03305409,0.33907023,0.31306807,0.25899120,0.21206742,-0.02750276,0.19599579,0.30190312,0.27614229,-0.04652266,0.32951420,-0.01787228,-0.04640632,0.28373312,-0.05169153,0.04082539,0.25156813,1.00000000,0.24853280,-0.32956976,0.28682660,0.18855531,0.24680160,0.20100725,0.22388855,0.33716751,0.31831110
x_32,-0.00706808,0.00543798,0.18741020,-0.04428445,0.30603697,0.20510993,0.17058697,0.09712724,0.12031776,0.22529644,0.22230030,0.13517796,0.01628829,-0.04342895,0.20904602,0.27761528,0.17335309,0.09282005,-0.02015173,0.18384214,0.20622698,0.14492695,-0.04913868,0.33143171,-0.01045257,-0.00049490,0.24249194,-0.09967572,0.03095439,0.29496722,0.24853280,1.00000000,0.67921921,0.20898936,0.18249075,0.13646484,0.12264754,0.18608359,0.24381955,0.45466279
x_33,-0.01904631,0.01533022,0.07707796,0.00558440,0.13059663,0.07546515,0.08315814,0.10412210,0.04510451,0.11048255,0.05780656,-0.00419412,0.01263805,-0.02995604,0.05888461,0.13700741,0.06696945,0.00648966,0.00220891,0.11639908,0.08411470,0.01998435,-0.01519791,0.19312397,-0.02720561,0.02334978,0.13875316,-0.02758371,0.00281766,0.18292452,-0.32956976,0.67921921,1.00000000,0.47977284,0.08963533,0.06578082,0.05565537,0.04386377,0.09822375,0.37010961
x_34,-0.03774840,0.07456831,0.17649295,0.04139292,0.22367020,0.18753215,0.18746229,0.11464903,0.15921919,0.17498415,0.23367315,0.20298610,0.01824207,-0.03006279,0.25064079,0.24454440,0.19997386,0.15365886,-0.01552928,0.19649483,0.23868341,0.17586095,-0.00307671,0.31941068,-0.05098566,0.00353665,0.27357002,0.01914497,0.00618090,0.25611844,0.28682660,0.20898936,0.47977284,1.00000000,0.16411001,0.25707626,0.18143071,0.11786315,0.28073800,0.45629713
x_35,-0.00652520,-0.04643715,0.15870039,0.01680009,0.32756217,0.25465405,0.18848737,-0.01155492,0.12571082,0.16016355,0.19668807,0.18616968,0.04546240,-0.02965739,0.17059816,0.21650778,0.13177439,0.05840878,0.01385678,0.12387441,0.16649916,0.14125558,0.05259369,0.30555492,-0.03751818,0.04522204,0.22858258,-0.07768009,0.03412828,0.27138295,0.18855531,0.18249075,0.08963533,0.16411001,1.00000000,0.14928968,0.23142045,0.18924313,0.58839720,0.42791806
x_36,-0.01318002,0.02248329,0.20509606,-0.01647740,0.29867443,0.15609055,0.15417197,-0.02434846,0.10922271,0.23811093,0.27697647,0.20379610,-0.00402977,0.03334169,0.19978006,0.25893219,0.14746499,0.08693991,-0.05382181,0.17249790,0.22601929,0.17628461,-0.00877971,0.30262089,0.02859255,-0.04153633,0.24623769,-0.01292000,-0.02977018,0.26505403,0.24680160,0.13646484,0.06578082,0.25707626,0.14928968,1.00000000,0.19317939,0.17208074,0.55064106,0.45394128
x_37,-0.02380082,-0.01805019,0.11831844,-0.00447231,0.28063169,0.19099187,0.22732595,-0.02624054,0.11993213,0.17760208,0.18948969,0.13732899,0.00003796,0.00112834,0.16524873,0.23471225,0.17778297,0.08360965,-0.08645286,0.15382140,0.17889836,0.12293610,-0.01764526,0.32295873,0.00473696,0.02428233,0.25837420,0.03272874,-0.00028783,0.27175922,0.20100725,0.12264754,0.05565537,0.18143071,0.23142045,0.19317939,1.00000000,0.14303389,0.63313874,0.44353321
x_38,0.02413512,-0.07101707,0.17752960,0.04145772,0.25429505,0.17446647,0.17325204,0.00804600,0.13845210,0.14143121,0.17759490,0.13522480,0.03757043,-0.02430768,0.18860750,0.23590024,0.15697946,0.08823518,-0.07499565,0.10153563,0.19709106,0.18402785,-0.06254970,0.28395828,-0.01457771,0.03700289,0.18962641,-0.03018033,0.02632828,0.27082890,0.22388855,0.18608359,0.04386377,0.11786315,0.18924313,0.17208074,0.14303389,1.00000000,0.67231067,0.47556901
x_39,-0.00851554,-0.05467289,0.24705190,0.01241836,0.45689431,0.30242445,0.29564235,-0.03170204,0.18702221,0.26787544,0.31841387,0.25416743,0.02799249,-0.01002701,0.28177477,0.36918922,0.24363020,0.12564631,-0.10035925,0.20830006,0.29877149,0.24776081,-0.01759576,0.48006410,-0.01045839,0.03924448,0.36037117,-0.03212861,0.01147683,0.42906633,0.33716751,0.24381955,0.09822375,0.28073800,0.58839720,0.55064106,0.63313874,0.67231067,1.00000000,0.71962095
y,0.02937765,-0.03062596,0.40864564,0.03269877,0.41811539,0.45391851,0.41483525,0.04729923,0.44974415,0.53110157,0.62856290,0.46879293,0.02273307,-0.05013802,0.44365029,0.38031005,0.42544482,0.37236833,-0.05398987,0.41677571,0.56140419,0.44837390,-0.04907432,0.46300614,-0.03639796,-0.01395539,0.37925412,-0.03611593,0.02064524,0.40477602,0.31831110,0.45466279,0.37010961,0.45629713,0.42791806,0.45394128,0.44353321,0.47556901,0.71962095,1.00000000
